API Error for pair (00f45fbf-39b2-444e-8e9a-9616a004b8d2, 832cadc2-fd9b-4b7c-ba9b-8646080f2159): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (28e93c75-e2c4-48c0-b834-5fd2ca907fd5, e4c1818f-3a4a-464c-866c-b7bcd8522c0d): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (28e93c75-e2c4-48c0-b834-5fd2ca907fd5, d3eb8168-7f57-4bd7-8ac7-d9b8b8c95c64): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (28e93c75-e2c4-48c0-b834-5fd2ca907fd5, a6403df3-106e-4470-8a00-5c935fb34bdc): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (29454d7c-0183-4480-92bb-ee742a0f11d1, 4d83f33b-3fdd-4ff4-a6d2-2138242a63a5): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (29454d7c-0183-4480-92bb-ee742a0f11d1, 608bcf55-8773-44a0-b4b8-570d8bcea249): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (28e93c75-e2c4-48c0-b834-5fd2ca907fd5, ec05eaa0-d534-44b8-8c8b-049315c22cf2): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (29454d7c-0183-4480-92bb-ee742a0f11d1, 759e495c-e57c-4b96-aae0-c16e478004ef): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (28e93c75-e2c4-48c0-b834-5fd2ca907fd5, cd88cee3-c79c-4a22-871e-0a17c288a35b): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (29454d7c-0183-4480-92bb-ee742a0f11d1, 71415304-ccd5-45fa-962f-5a46dee6799d): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (29454d7c-0183-4480-92bb-ee742a0f11d1, 847ea615-5c1d-45e5-b7e9-24e23ac194c6): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (29454d7c-0183-4480-92bb-ee742a0f11d1, 91b4b7e5-cbbc-4948-91b7-3e5b41858b22): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (29454d7c-0183-4480-92bb-ee742a0f11d1, ab5d9234-d269-488c-b220-384693423038): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (294bbdbb-517d-44ff-9ac0-6a5e0151a71a, 568b2a0f-c4ae-447d-8c4a-263c8ec952e5): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (294bbdbb-517d-44ff-9ac0-6a5e0151a71a, 6f3b4028-2213-452b-a7bf-6b1b2f4b0449): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (294bbdbb-517d-44ff-9ac0-6a5e0151a71a, 5b49ac80-bc77-46d2-a30c-75aae6b9a573): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (29454d7c-0183-4480-92bb-ee742a0f11d1, fd9b6404-5186-42e7-b3c3-b20aaec02e4e): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (294bbdbb-517d-44ff-9ac0-6a5e0151a71a, c16b68bf-15fb-42f2-adcc-e1c910cf477a): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (29454d7c-0183-4480-92bb-ee742a0f11d1, b1107345-5908-4ae8-bc9f-71d67e27615f): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (294bbdbb-517d-44ff-9ac0-6a5e0151a71a, f909d9ff-d30c-4db4-ae8c-f144e433222f): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (29aead83-b6f9-4245-b73b-c3a8a4ca03e6, 655fafdd-1af4-474c-93be-639530e81c38): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (294bbdbb-517d-44ff-9ac0-6a5e0151a71a, 78068d59-4074-4648-8df1-580f2db26315): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (294bbdbb-517d-44ff-9ac0-6a5e0151a71a, 75741154-5102-443f-9c77-c18f5306e5b7): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (29aead83-b6f9-4245-b73b-c3a8a4ca03e6, 589fbec5-2084-4773-9a64-d3e0aa5b5c2e): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (294bbdbb-517d-44ff-9ac0-6a5e0151a71a, 76bd189e-5e35-4a09-bc7b-1341b5f93c5b): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (29aead83-b6f9-4245-b73b-c3a8a4ca03e6, 3be3e3eb-f05d-4e9c-8d5d-80183120f62b): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (294bbdbb-517d-44ff-9ac0-6a5e0151a71a, 57a3cda3-e550-4e9b-9e2b-689149598a17): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (29aead83-b6f9-4245-b73b-c3a8a4ca03e6, 4fb4ebcd-af73-4489-90ed-4ff533c207fd): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (29aead83-b6f9-4245-b73b-c3a8a4ca03e6, 8fb13561-0bf0-47c6-a0ef-857f7932448a): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (294bbdbb-517d-44ff-9ac0-6a5e0151a71a, b04d937c-90d1-47d1-ab01-d1bca900224d): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (29aead83-b6f9-4245-b73b-c3a8a4ca03e6, 736e473a-1840-4c4f-a35f-a745073a95cf): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (29aead83-b6f9-4245-b73b-c3a8a4ca03e6, 9a5f6f3c-1ccd-41fd-b286-a53d2287b8f0): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (29aead83-b6f9-4245-b73b-c3a8a4ca03e6, a139d591-e38d-4a2f-9eba-8ea0d55529c2): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (29aead83-b6f9-4245-b73b-c3a8a4ca03e6, c70ba2cb-8409-4984-837c-5918447df173): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (29de8c5f-8f99-4fcd-91b5-5a56f5351183, 2c3329cc-ad7d-4a09-a566-1a835c1ec038): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (29de8c5f-8f99-4fcd-91b5-5a56f5351183, 3fc269fc-f826-4307-a037-68afc73bfa30): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (29aead83-b6f9-4245-b73b-c3a8a4ca03e6, b99e8f56-d405-4cd3-9a01-841d71e15ec8): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (29de8c5f-8f99-4fcd-91b5-5a56f5351183, 45286673-e9ff-459a-8a78-9df829381711): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (29aead83-b6f9-4245-b73b-c3a8a4ca03e6, c9f2a1d0-c50f-4503-8705-1f22a3573493): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (29aead83-b6f9-4245-b73b-c3a8a4ca03e6, a92ee2ca-5ef7-4126-a96b-5315de7289f7): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (29de8c5f-8f99-4fcd-91b5-5a56f5351183, 6dc2d6c8-2038-4f12-b420-df66cd483813): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (29de8c5f-8f99-4fcd-91b5-5a56f5351183, 934614cc-849d-4a5e-bf34-7db727f5e8e5): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (29de8c5f-8f99-4fcd-91b5-5a56f5351183, 465c49b0-df40-4855-8a9c-941af42f73db): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (29de8c5f-8f99-4fcd-91b5-5a56f5351183, 441f276c-0ccb-4c02-9db3-ee3237c018c7): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (29de8c5f-8f99-4fcd-91b5-5a56f5351183, 7382e849-18c5-4be0-9c3f-3d12710191de): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (29de8c5f-8f99-4fcd-91b5-5a56f5351183, 600f396e-a27f-4e24-b5c7-54d1e28dd65a): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (29de8c5f-8f99-4fcd-91b5-5a56f5351183, 9864ba22-a004-4713-acf1-6d1c9dfb512a): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (29de8c5f-8f99-4fcd-91b5-5a56f5351183, 954f7a3a-5f24-40a1-8204-b49a41b4b02b): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (29de8c5f-8f99-4fcd-91b5-5a56f5351183, 969ecf4e-e31e-4456-b73e-1aee999a922c): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (29de8c5f-8f99-4fcd-91b5-5a56f5351183, 99637b96-e44b-4cd3-a0ea-d4aca7281072): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (29de8c5f-8f99-4fcd-91b5-5a56f5351183, 991c9a97-8ae1-463f-878b-88fa9f729582): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (29de8c5f-8f99-4fcd-91b5-5a56f5351183, a097238b-6873-4d7e-abd8-5ebf6f6a0dd4): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (29de8c5f-8f99-4fcd-91b5-5a56f5351183, ea237ce9-23b1-4817-81a7-e0ffe30d4f4c): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (29de8c5f-8f99-4fcd-91b5-5a56f5351183, ab5836da-b992-4c3a-a939-3dcf0058a24e): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (29de8c5f-8f99-4fcd-91b5-5a56f5351183, cd215b70-6b01-4ef8-aa53-0dcdb0b8959f): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (2a148bc3-11ad-4c9d-9cfc-b2ce68fa1464, 81676025-8c39-42fa-9b33-0035674c0397): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (29de8c5f-8f99-4fcd-91b5-5a56f5351183, dd5dd8a7-2b99-4877-9772-121e9093850e): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (2a148bc3-11ad-4c9d-9cfc-b2ce68fa1464, de5116ad-966a-451a-a20e-a92102f00cf1): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (2a148bc3-11ad-4c9d-9cfc-b2ce68fa1464, 59421bf9-d3f8-49a5-a2db-03a0a06dd6f5): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (2a148bc3-11ad-4c9d-9cfc-b2ce68fa1464, 68deedb4-d585-4db6-94c4-7db4b5c1cd12): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (2a148bc3-11ad-4c9d-9cfc-b2ce68fa1464, a1899db8-a099-44a7-9cf4-b3c97a776076): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (2a148bc3-11ad-4c9d-9cfc-b2ce68fa1464, e929ba0b-6953-4604-9d40-8bdfca2af616): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (2a148bc3-11ad-4c9d-9cfc-b2ce68fa1464, ce47f61e-0480-40e4-9ec9-eb0ad9f83ff9): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (29de8c5f-8f99-4fcd-91b5-5a56f5351183, cda84fad-a4af-45f4-939f-c73fa1bfd1d8): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (2a16c069-1c37-4f0e-80f8-3f89ebf76f62, 30edb709-25e8-4dee-912b-a98ae2b64a1d): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (2a148bc3-11ad-4c9d-9cfc-b2ce68fa1464, 4f5eb96d-8daf-4ac4-8abc-8885b04ec125): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (2a148bc3-11ad-4c9d-9cfc-b2ce68fa1464, 3850e282-073c-4ce8-95c7-713a002fcc82): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (29de8c5f-8f99-4fcd-91b5-5a56f5351183, bae0f072-d573-49d6-90d3-34d5ae0d5af4): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (2a148bc3-11ad-4c9d-9cfc-b2ce68fa1464, c563dbf1-3664-4055-b0df-28d9e5a3de3e): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (2a148bc3-11ad-4c9d-9cfc-b2ce68fa1464, b6b19e11-280e-4c56-8190-7b7bd194ffff): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (29de8c5f-8f99-4fcd-91b5-5a56f5351183, cbc779d8-61d3-47a6-9276-6612e4aded37): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (2a16c069-1c37-4f0e-80f8-3f89ebf76f62, 445196c7-84c4-4f65-b5b5-ab7f0618272f): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (2a16c069-1c37-4f0e-80f8-3f89ebf76f62, 521039b1-48ff-4226-a0ac-3edb5a2e61b9): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (2a16c069-1c37-4f0e-80f8-3f89ebf76f62, 5a396a97-ecf0-4e06-8b5e-061dfdf4afbc): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (2a16c069-1c37-4f0e-80f8-3f89ebf76f62, a825755c-a342-405d-a7fd-91968bd5fcb8): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (2a16c069-1c37-4f0e-80f8-3f89ebf76f62, 6faecff9-428c-4180-94b4-a171285238a7): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (2a16c069-1c37-4f0e-80f8-3f89ebf76f62, 6d3426cf-7226-4697-98f1-71a9f8a93118): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (2a16c069-1c37-4f0e-80f8-3f89ebf76f62, c7eb2b8a-d1ed-4152-83e0-b5b582f289bc): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (2a16c069-1c37-4f0e-80f8-3f89ebf76f62, 7fde9fc6-1fb5-4f7a-86c4-292ce7fcf908): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (2a16c069-1c37-4f0e-80f8-3f89ebf76f62, fb6293df-3a5a-4c0b-b554-60b7b5940792): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (2a16c069-1c37-4f0e-80f8-3f89ebf76f62, b2b67e45-6969-40cf-ba2e-b397f2a7aeab): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (2a16c069-1c37-4f0e-80f8-3f89ebf76f62, b453b9e1-6c52-4d96-ad02-9a29bd801bda): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (2a16c069-1c37-4f0e-80f8-3f89ebf76f62, fc2ce7fe-bae1-45c4-b58f-3ffb6d8dd98b): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (2a3340e2-a3cd-46b5-b260-3e3d8d43370c, 52612cee-5a77-4f2a-b7dc-aacceaa4fc48): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (2a3340e2-a3cd-46b5-b260-3e3d8d43370c, 33986d22-9fdb-44ed-b1d1-499d3ff7ccf6): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (2a3340e2-a3cd-46b5-b260-3e3d8d43370c, 4c8a81a1-e657-4f7f-abc7-bd2e4d23cae2): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (2a3340e2-a3cd-46b5-b260-3e3d8d43370c, 30b09fe9-b29c-48ad-9b9a-dde6cf8c1c5c): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (2a3340e2-a3cd-46b5-b260-3e3d8d43370c, 71fe9725-6eaa-4dd8-b8c8-af702ca0592c): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (2a3340e2-a3cd-46b5-b260-3e3d8d43370c, 5b6fa764-4c6c-4134-8c32-42fc7ed64aa5): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (2a3340e2-a3cd-46b5-b260-3e3d8d43370c, 75bbe807-d50b-4f69-9598-b852ade0711c): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (2a3340e2-a3cd-46b5-b260-3e3d8d43370c, 7fd58250-ecf8-4d3a-b989-5be46532d2e8): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (2a3340e2-a3cd-46b5-b260-3e3d8d43370c, 8e7b5f70-3b84-4beb-af3c-51902d1d270c): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (2a3340e2-a3cd-46b5-b260-3e3d8d43370c, f82079b2-47d8-42c4-a622-e936e4d36a73): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (2a3806fb-c1fa-4887-bb03-1baf57d34ec3, 6353e630-c67e-486f-b70e-93a6bbf19554): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (2a3340e2-a3cd-46b5-b260-3e3d8d43370c, a6680a5e-a04e-44f6-a5e2-348029e6f847): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (2a3340e2-a3cd-46b5-b260-3e3d8d43370c, ffe5c018-c9fc-46c4-a171-af6017bd46ae): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (2a3806fb-c1fa-4887-bb03-1baf57d34ec3, cd2d3703-f6c8-4b9e-8073-1289029900dd): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (2a3806fb-c1fa-4887-bb03-1baf57d34ec3, 5829e114-63a2-46e1-8117-dd1b5dd2559a): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (2a3806fb-c1fa-4887-bb03-1baf57d34ec3, bf3a4dfd-87cb-4275-ad69-ee2a74de3fc1): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (2a3340e2-a3cd-46b5-b260-3e3d8d43370c, e337b512-7915-4c80-8e85-5e22f099cfbd): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (2a3340e2-a3cd-46b5-b260-3e3d8d43370c, aa439840-7dee-4239-8ebb-ab027fc63861): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (2a58ac31-b7e8-467e-82eb-21a113bf3fed, 5ac12a8e-e2a9-410a-868c-733a7a6dfaf6): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (2a58ac31-b7e8-467e-82eb-21a113bf3fed, 5069559f-cd6e-4560-821d-75ea059c0fb0): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (2a3806fb-c1fa-4887-bb03-1baf57d34ec3, b88135ba-d86f-4bc7-9448-28362336b996): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (2a58ac31-b7e8-467e-82eb-21a113bf3fed, 2c96004e-d4a6-4487-8f11-7613ef5fdcf8): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (2a3806fb-c1fa-4887-bb03-1baf57d34ec3, 7e47f78d-aefb-43b5-8300-810dc8995d0d): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (2a3806fb-c1fa-4887-bb03-1baf57d34ec3, 76f6329d-2f63-499f-8065-bde106061220): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (2a3806fb-c1fa-4887-bb03-1baf57d34ec3, d4310c78-839e-46ec-ad16-9ae36a73ded1): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (2a3806fb-c1fa-4887-bb03-1baf57d34ec3, df9d4915-8184-4e7e-a56e-0a7bcbc76daf): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (2a3806fb-c1fa-4887-bb03-1baf57d34ec3, b15dbfe9-54d8-4a52-afb1-f4625788d506): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (2a58ac31-b7e8-467e-82eb-21a113bf3fed, 4fa2f7f4-9021-482b-8140-270e5b9f831d): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (2a58ac31-b7e8-467e-82eb-21a113bf3fed, 7c275730-b6b1-4380-96ad-0fcae03ce42e): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (2a58ac31-b7e8-467e-82eb-21a113bf3fed, b2dfb571-80b1-4fdd-84a7-6181910c47b9): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
